QSO, PLATE-MJD-FIBER, BI_EHVO, V_max, V_min, EW, Depth
J000154.90-004956.4, 4216-55477-0166,200,-58200,-54700,400,0.2
J001306.14+000431.8, 4217-55478-0020,200,-58200,-55200,200,0.31
J005922.65+000301.4, 3735-55209-0532,200,-38800,-35300,300,0.28
J012700.69-004559.1, 4229-55501-0337,400,-42100,-36700,400,0.33
J014548.55-000812.5, 4231-55444-0035,1400,-41500,-32800,1500,0.47
J071843.50+391720.3, 3655-55240-0388,500,-43500,-38800,700,0.26
J073505.97+280327.0, 4456-55537-0704,400,-43600,-37500,400,0.27
J073505.97+280327.0, 4456-55537-0704,400,-49500,-47600,50,0.19
J074711.14+273903.3, 4452-55536-0214,1000,-57900,-50200,1100,0.35
J075240.18+092523.0, 4511-55602-0415,300,-42100,-37800,300,0.24
J075240.18+092523.0, 4511-55602-0415,300,-47400,-45100,30,0.15
J075852.68+133530.8, 4506-55568-0824,200,-37800,-33700,200,0.23
J081337.14+155705.4, 4498-55615-0502,300,-51200,-45800,400,0.26
J083304.73+415331.3, 3808-55513-0892,2400,-60000,-44800,2500,0.41
J085825.71+005006.7, 3815-55537-0910,20,-38100,-35800,50,0.21
J092125.97-023411.9, 3766-55213-0046,500,-43400,-36900,600,0.38
J094023.55+404703.2, 4571-55629-0730,900,-49800,-41500,1000,0.33
J094258.03+005359.5, 3826-55563-0860,300,-39800,-36100,500,0.4
J095005.90+362455.2, 4573-55587-0698,500,-39000,-34700,600,0.34
J095254.10+021932.8, 4743-55645-0118,100,-36200,-34000,200,0.29
J095603.47+382517.2, 4570-55623-0296,400,-37500,-33000,500,0.34
J100400.20+372551.9, 4567-55589-0454,800,-32400,-30000,500,0.37
J100400.20+372551.9, 4567-55589-0454,800,-41900,-35700,500,0.31
J103456.31+035859.4, 4772-55654-0106,40,-53400,-51400,80,0.17
J110841.93+031735.1, 4741-55704-0786,100,-40300,-36300,200,0.25
J111154.35+372321.2, 4622-55629-0678,2400,-51600,-45700,500,0.29
J111154.35+372321.2, 4622-55629-0678,2400,-59900,-51900,2000,0.51
J113000.22+344625.9, 4619-55599-0854,2400,-42900,-33800,2500,0.57
J120609.69+004522.6, 3844-55321-0920,1400,-34000,-31500,300,0.28
J120609.69+004522.6, 3844-55321-0920,1400,-47900,-38500,1200,0.32
J120609.69+004522.6, 3844-55321-0920,1400,-56200,-53700,70,0.16
J123056.28+345201.7, 3968-55590-0464,1300,-42900,-36000,1300,0.45
J131307.93+065349.0, 4840-55690-0576,700,-43000,-37300,800,0.36
J133150.25+393417.7, 4708-55704-0418,1300,-40700,-32000,1400,0.5
J133752.36-011924.7, 4046-55605-0085,200,-43200,-39400,200,0.28
J135203.03+333938.3, 3861-55274-0582,400,-41400,-36400,500,0.43
J144356.21+062539.2, 4858-55686-0392,1100,-43800,-35400,1200,0.33
J150339.76+183423.9, 3957-55664-0568,80,-39500,-37500,90,0.24
J150339.76+183423.9, 3957-55664-0568,80,-48900,-47700,50,0.18
J150339.76+183423.9, 3957-55664-0568,80,-59100,-57000,70,0.19
J151016.40+034200.0, 4776-55652-0216,30,-48600,-46500,80,0.22
J162445.03+271418.7, 5006-55706-0846,500,-58400,-53400,500,0.32
J162747.14+192639.7, 4060-55359-0940,60,-41500,-39800,100,0.24
J164653.72+243942.2, 4181-55685-0543,3600,-49100,-36600,3700,0.71
J165436.85+222733.8, 4178-55653-0608,600,-48400,-44300,600,0.39
J171800.39+314203.9, 4998-55722-0306,1400,-41200,-32800,1500,0.36
J222559.52-004157.5, 4202-55445-0258,2,-40000,-38700,10,0.14
J231227.48+005231.7, 4209-55478-0712,300,-40600,-37400,400,0.39
